Ademola Adeniran<>4<>82<>WR<>160<>So<>Phoenix, AZ
R.J. Aguero<>4<>89<>WR<>190<>Fr<>Laredo, TX
Jamar Allah<>4<>27<>S<>189<>Fr<>Phoenix, AZ
Javelle Allen<>4<>9<>QB<>226<>Fr<>Prosper, TX
Jacob Arzouman<>4<>74<>OL<>270<>Fr<>Tucson, AZ
Stephen Ascher<>4<>20<>S<>194<>Fr<>Newport Beach, CA
Dominique Austin<>4<>92<>DL<>285<>Sr<>La Puente, CA
Addison Bachman<>4<>54<>OL<>297<>Sr<>Glendora, CA
Jared Baker<>4<>23<>RB<>191<>Fr<>Los Angeles, CA
Jack Baucus<>4<>67<>OL<>290<>Jr<>Mundelein, IL
Mickey Baucus<>4<>68<>OL<>285<>So<>Mundelein, IL
Eric Bender-Ramsay<>4<>69<>OL<>330<>Jr<>Carson, CA
Jarrell Bennett<>4<>15<>WR<>149<>Fr<>New Orleans, LA
Trace Biskin<>4<>72<>OL<>282<>Sr<>Westlake Village, CA
John Bonano<>4<>15<>K<>214<>Sr<>Salinas, CA
Tra'Mayne Bondurant<>4<>21<>S<>207<>So<>Fairfield, CA
Beau Boyster<>4<>59<>OL<>276<>Fr<>Placentia, CA
Blake Brady<>4<>46<>S<>191<>So<>Orange, CA
Dan Buckner<>4<>4<>WR<>215<>Sr<>Allen, TX
Cayman Bundage<>4<>61<>OL<>265<>Fr<>Oklahoma City, OK
Keoni Bush-Loo<>4<>3<>DL<>229<>Fr<>Ewa Beach, HI
Kylan Butler<>4<>2<>RB<>186<>Jr<>Antioch, CA
Wayne Capers<>4<>15<>S<>189<>Fr<>Pittsburgh, PA
Alex Cappellini<>4<>19<>QB<>192<>So<>Phoenix, AZ
Ka'Deem Carey<>4<>25<>RB<>197<>So<>Tucson, AZ
Brian Chacon<>4<>63<>LS<>267<>Jr<>Long Beach, CA
Clint Cochrane<>4<>35<>S<>179<>Fr<>Tucson, AZ
Kyle Combs<>4<>51<>LB<>223<>Fr<>Scottsdale, AZ
Dakota Conwell<>4<>23<>LB<>215<>Fr<>Pittsburgh, PA
Michael Cooper<>4<>83<>TE<>240<>So<>The Woodlands, TX
Dylan Cozens<>4<>999<>DE<>235<>Fr<>Scottsdale, AZ
Tyler D'Amore<>4<>9<>QB<>193<>Fr<>Tuscon, AZ
Lamar De Rego<>4<>93<>DL<>246<>Sr<>Waimea, HI
B.J. Denker<>4<>7<>QB<>177<>Jr<>Torrance, CA
C.J. Dozier<>4<>9<>LB<>206<>Fr<>Temecula, CA
Kyle Dugandzic<>4<>13<>P<>200<>Sr<>Agoura, CA
Fabbians Ebbele<>4<>73<>OL<>310<>So<>Chicago, IL
Josh Elias<>4<>47<>LS<>195<>So<>San Jose, CA
Trevor Ermisch<>4<>20<>WR<>185<>So<>Phoenix, AZ
Tyler Ermisch<>4<>56<>LB<>225<>Fr<>Phoenix, AZ
Faitele Faafoi<>4<>64<>OL<>305<>Fr<>Tustin, CA
Jake Fischer<>4<>33<>LB<>215<>Jr<>Oro Valley, AZ
Marquis Flowers<>4<>2<>S<>221<>Jr<>Phoenix, AZ
Clive Georges<>4<>81<>WR<>166<>Fr<>Key West, FL
Reggie Gilbert<>4<>84<>DL<>254<>So<>Laveen, AZ
Devin Gordon<>4<>58<>LB<>221<>Fr<>Mesa, AZ
Chase Gorham<>4<>50<>LS<>259<>So<>Scottsdale, AZ
Jourdon Grandon<>4<>26<>CB<>186<>So<>Avondale, AZ
Trey Griffey<>4<>5<>WR<>187<>Fr<>Orlando, FL
T.D. Gross<>4<>70<>OL<>271<>Fr<>Lakeside, CA
Adam Hall<>4<>12<>S<>213<>Jr<>Tucson, AZ
Rob Hankins<>4<>44<>LB<>217<>So<>Dallas, TX
Bryan Harper<>4<>1<>CB<>166<>Fr<>Ontario, CA
Zach Hemmila<>4<>65<>OL<>329<>Fr<>Chandler, AZ
Austin Hill<>4<>29<>WR<>211<>So<>Corona, CA
Hank Hobson<>4<>19<>LB<>224<>So<>Bakersfield, CA
Keahi Hogan<>4<>37<>S<>182<>Jr<>Honolulu, HI
Tevin Hood<>4<>98<>DL<>302<>Jr<>Phoenix, AZ
Cody Ippolito<>4<>57<>LB<>210<>Fr<>Paradise Valley, AZ
Nick Isham<>4<>12<>QB<>195<>So<>Hidden Hills, CA
Johnny Jackson<>4<>30<>WR<>179<>Fr<>San Diego, CA
Sir Thomas Jackson<>4<>53<>LB<>215<>Fr<>Seattle, WA
Daniel Jenkins<>4<>3<>RB<>196<>Jr<>Moreno Valley, CA
Tim Johnston<>4<>49<>LS<>215<>Fr<>Piedmont, CA
Terris Jones<>4<>27<>RB<>177<>So<>Long Beach, CA
Kyle Kelley<>4<>99<>DL<>243<>Fr<>Irvine, CA
Josh Kern<>4<>17<>QB<>197<>Fr<>San Antonio, TX
Carter Lees<>4<>60<>OL<>336<>So<>Sugar Land, TX
Anthony Lopez<>4<>28<>LB<>209<>Fr<>Gilbert, AZ
David Lopez<>4<>18<>LB<>244<>Sr<>Los Angeles, CA
Lene Maiava<>4<>77<>OL<>276<>Fr<>Tafuna,
Luis Martinez<>4<>65<>G<>307<>So<>Tucson, AZ
Jonathan McKnight<>4<>6<>CB<>167<>So<>River Ridge, LA
Dwight Melvin<>4<>97<>DL<>276<>Fr<>Laveen, AZ
Chris Merrill<>4<>71<>DL<>273<>Sr<>Scottsdale, AZ
Vince Miles<>4<>36<>S<>188<>Fr<>Mountain View, CA
Terrence Miller<>4<>18<>WR<>226<>Sr<>Moreno Valley, CA
Willie Mobley<>4<>96<>DL<>270<>Sr<>Eden Prairie, MN
Richard Morrison<>4<>8<>WR<>183<>Jr<>Royce City, TX
Brendan Murphy<>4<>40<>CB<>181<>Jr<>New Hartford, NY
Dame Ndiaye<>4<>85<>TE<>219<>Fr<>San Diego, CA
Greg Nwoko<>4<>34<>LB<>237<>Sr<>Pflugerville, TX
Jack Nykaza<>4<>13<>QB<>177<>Fr<>Wilmette, IL
Patrick Onwuasor<>4<>4<>S<>211<>Fr<>Inglewood, CA
Jesse Ortiz<>4<>34<>K<>210<>So<>Phoenix, AZ
Kyrel Parker<>4<>35<>DB<>185<>So<>Apache Junction, AZ
William Parks<>4<>11<>S<>190<>Fr<>Philadelphia, PA
Lucas Petrullo<>4<>42<>LB<>211<>Fr<>Scottsdale, AZ
Dan Pettinato<>4<>90<>DL<>265<>So<>Grass Valley, CA
Brandon Porter<>4<>36<>K<>189<>Jr<>Siera Vista, AZ
Chris Putton<>4<>62<>OL<>280<>Jr<>Glendale, AZ
Kyle Quinn<>4<>76<>C<>290<>Sr<>Brentwood, CA
Derrick Rainey<>4<>17<>CB<>184<>Jr<>Houston, TX
David Richards<>4<>80<>WR<>203<>Fr<>Palmdale, CA
Shaquille Richardson<>4<>5<>CB<>186<>Jr<>Carson, CA
Drew Riggleman<>4<>39<>P<>209<>Fr<>Tucson, AZ
Drew Robinson<>4<>87<>TE<>256<>Sr<>Coalville, UT
Jaime Salazar<>4<>48<>K<>204<>Sr<>Garland, TX
Justin Samuels<>4<>29<>CB<>170<>Jr<>Camas, WA
Yamen Sanders<>4<>10<>S<>187<>Fr<>Los Angeles, CA
Matt Scott<>4<>10<>QB<>196<>Sr<>Corona, CA
Casey Skowron<>4<>41<>K<>155<>Fr<>Phoenix, AZ
Tyler Slavin<>4<>11<>WR<>205<>So<>Corona, CA
Jake Smith<>4<>86<>K<>200<>Jr<>Elkins Park, PA
Connor Sohns<>4<>24<>CB<>181<>So<>Tucson, AZ
Trent Spurgeon<>4<>79<>OL<>324<>So<>Owasso, OK
Ben Sullivan<>4<>37<>TE<>223<>Fr<>Tucson, AZ
Kirifi Taula<>4<>75<>DL<>282<>So<>Garden Grove, CA
Elliott Taylor<>4<>45<>RB<>182<>Jr<>San Diego, CA
Jared Tevis<>4<>38<>S<>197<>So<>Tucson, AZ
Leo Thomas<>4<>8<>S<>180<>Fr<>San Antonio, TX
Sione Tuihalamaka<>4<>91<>DL<>271<>Jr<>Hawthorne, CA
Taimi Tutogi<>4<>31<>FB<>260<>Sr<>Chula Vista, CA
Christian Upshaw<>4<>94<>DL<>246<>Sr<>Phoenix, AZ
Brian Wagner<>4<>40<>LB<>230<>Sr<>Dayton, OH
Jowyn Ward<>4<>55<>OL<>282<>Sr<>Katy, TX
J.T. Washington<>4<>32<>RB<>156<>Fr<>Indialantic, FL
Justin Washington<>4<>43<>DL<>268<>Jr<>Cypress, TX
Mark Watley<>4<>7<>S<>190<>Jr<>Encino, CA
Garic Wharton<>4<>16<>WR<>164<>So<>Las Vegas, NV
Aaron White<>4<>34<>LB<>198<>Fr<>Newport Beach, CA
Sean Willet<>4<>84<>WR<>192<>So<>Mission Viejo, CA
Shadow Williams<>4<>47<>LB<>226<>Fr<>Tampa, FL
Carter Wood<>4<>66<>OL<>274<>Fr<>Scottsdale, AZ
Shane Zink<>4<>75<>OL<>314<>Sr<>Redding, CA
