Josh Huff<>8<>1<>WR<>205<>Jr.<>Houston, Texas (Nimitz HS)
Bryan Bennett<>8<>2<>QB<>204<>So.<>Encino, Calif. (Crespi HS)
Dior Mathis<>8<>3<>CB<>182<>So.<>Detroit, Mich. (Cass Tech HS)
Jake Rodrigues<>8<>3<>QB<>218<>Fr.<>Rocklin, Calif. (Whitney HS)
Erick Dargan<>8<>4<>FS<>205<>So.<>Pittsburg, Calif. (Pittsburg)
Issac Dixon<>8<>5<>DB<>195<>RFr.<>Miami Gardens, Fla. (Monsignor Pace HS)
De'Anthony Thomas<>8<>6<>RB<>176<>So.<>Los Angeles, Calif. (Crenshaw HS)
Keanon Lowe<>8<>7<>WR<>181<>So.<>Portland, Ore. (Jesuit HS)
Reggie Daniels<>8<>8<>DB<>200<>Fr.<>Chandler, Ariz. (Hamilton HS)
Marcus Mariota<>8<>8<>QB<>211<>RFr.<>Honolulu, Hawaii (St. Louis HS)
Arik Armstead<>8<>9<>DL<>280<>Fr.<>Sacramento, Calif. (Pleasant Grove HS)
Byron Marshall<>8<>9<>RB<>201<>Fr.<>San Jose, Calif. (Valley Christian HS)
Rahsaan Vaughn<>8<>10<>WR<>198<>Sr.<>Oakland, Calif. (College of San Mateo) (Washington HS)
Bralon Addison<>8<>11<>WR<>189<>Fr.<>Missouri City, Texas (Fort Bend Hightower HS)
Devon Blackmon<>8<>12<>WR<>186<>RFr.<>Fontana, Calif. (Summit HS)
Brian Jackson<>8<>12<>DB<>205<>Jr.<>Hoover, Ala. (Hoover HS)
Troy Hill<>8<>13<>DB<>180<>So.<>Ventura, Calif. (St. Bonaventure)
Ifo Ekpre-Olomu<>8<>14<>CB<>190<>So.<>Chino Hills, Calif. (Chino Hills HS)
Dustin Haines<>8<>14<>QB<>207<>Jr.<>Eugene, Ore. (South Eugene HS)
Colt Lyerla<>8<>15<>TE<>246<>So.<>Hillsboro, Ore. (Hillsboro HS)
Daryle Hawkins<>8<>16<>WR<>202<>Jr.<>Omaha, Neb. (Omaha Central HS)
Jeff Lockie<>8<>17<>QB<>195<>Fr.<>Danville, Calif. (Monte Vista HS)
James Scales<>8<>17<>DB<>190<>So.<>Greensboro, N.C. (Northern Guilford)
Dwayne Stanford<>8<>18<>WR<>195<>Fr.<>Cincinnati, Ohio (Taft HS)
Eric Dungy<>8<>19<>WR<>183<>So.<>Tampa, Fla. (Plant HS)
John Boyett<>8<>20<>FS<>205<>Sr.<>Napa, Calif. (Napa HS)
Chance Allen<>8<>21<>WR<>195<>Fr.<>Missouri City, Texas (Fort Bend Elkins HS)
Avery Patterson<>8<>21<>CB<>185<>Jr.<>Pittsburg, Calif. (Pittsburg HS)
Derrick Malone<>8<>22<>LB<>219<>So.<>Colton, Calif. (Colton HS)
B.J. Kelley<>8<>23<>WR<>181<>RFr.<>Fresno, Calif. (Central HS)
Kenjon Barner<>8<>24<>RB<>192<>Sr.<>Riverside, Calif. (Notre Dame HS)
Boseko Lokombo<>8<>25<>LB<>233<>Jr.<>Abbotsford, B.C. (W.J. Mouat HS)
Ben Butterfield<>8<>26<>WR<>197<>Jr.<>Sherwood, Ore. (Sherwood HS)
Terrance Mitchell<>8<>27<>DB<>189<>So.<>Sacramento, Calif. (Luther Burbank HS)
Eric Amoako<>8<>28<>DB<>193<>Fr.<>Arlington, Texas (Martin HS)
Stephen Amoako<>8<>29<>DB<>194<>Fr.<>Arlington, Texas (Martin HS)
Dylan Ausherman<>8<>30<>PK<>170<>Jr.<>Visalia, Calif. (College of the Sequoias) (El Diamante HS)
Ayele Forde<>8<>30<>RB<>183<>So.<>Victorville, Cal. (Silverado HS)
Bronson Yim<>8<>30<>DB<>180<>RFr.<>Honolulu, Hawaii (St. Louis HS)
Kenny Bassett<>8<>31<>RB<>178<>So.<>Beverly Hills, Calif. (Beverly Hills HS)
Oshay Dunmore<>8<>31<>DB<>195<>Fr.<>Newport, Ore. (Newport HS)
Evan Baylis<>8<>32<>TE<>244<>Fr.<>Centennial, Colo. (Grandview HS)
J.R. Maffie<>8<>32<>DB<>205<>Jr.<>Diamond Bar, Calif. (Bishop Amat HS)
Tyson Coleman<>8<>33<>LB<>222<>RFr.<>Lake Oswego, Ore. (Lake Oswego HS)
Rahim Cassell<>8<>34<>LB<>215<>RFr.<>Lakewood, Calif. (Lakewood HS)
Lane Roseberry<>8<>34<>RB<>230<>Fr.<>Bly, Ore. (Lakeview HS)
Anthony Wallace<>8<>35<>LB<>235<>So.<>Dallas , Texas (Skyline HS)
Carlyle Garrick<>8<>36<>LB<>221<>RFr.<>Castro Valley, Calif. (Castro Valley HS)
Jennings Stewart<>8<>36<>TE<>225<>Sr.<>Grants Pass, Ore. (Grants Pass HS)
Michael Manns<>8<>37<>DB<>165<>Fr.<>Molalla, OR (Molalla HS)
Jordan Thompson<>8<>37<>RB<>175<>Jr.<>Valencia, Calif. (Valencia HS)
Bill Chimphalee<>8<>38<>RB<>210<>Jr.<>Kenai, Alaska (Orange Coast College) (Kenai Central HS)
Mike Garrity<>8<>38<>LB<>226<>So.<>San Carlos, Calif. (Archbishop Riordan)
Drew Howell<>8<>39<>LS<>220<>Jr.<>Tehachapi, Calif. (Tehachapi HS)
Jimmy Musgrave<>8<>39<>TE<>220<>RFr.<>Victorville, Calif. (Silverado HS)
Brett Bafaro<>8<>40<>LB<>225<>Fr.<>Hillsboro, Ore. (Liberty HS)
Alejandro Maldonado<>8<>41<>PK<>185<>Jr.<>Colton, Calif. (Colton HS)
Blake Stanton<>8<>41<>WR<>211<>So.<>Los Angeles, Calif. (Crespi HS)
Cody Carriger<>8<>42<>DL<>235<>Fr.<>Butte, Mont. (Butte HS)
Keloni Kamalani<>8<>43<>LB<>215<>Jr.<>Kihei, Hawaii (Kamehameha Maui HS)
DeForest Buckner<>8<>44<>DL<>265<>Fr.<>Honolulu, Hawaii (Punahou HS)
Austin Daich<>8<>45<>DB<>185<>Fr.<>Aptos, Calif. (Monte Vista Christian HS)
T.J. Daniel<>8<>45<>TE<>249<>Fr.<>Oakland, Calif. (Bishop O’Dowd HS)
Michael Clay<>8<>46<>LB<>222<>Sr.<>San Jose, Calif. (Bellarmine College Prep)
Kiko Alonso<>8<>47<>LB<>242<>Sr.<>Los Gatos, Calif. (Los Gatos HS)
Rodney Hardrick<>8<>48<>LB<>230<>So.<>Colton, Calif. (Colton HS)
Eric Solis<>8<>48<>PK<>192<>RSo.<>Sherman Oaks, Calif. (Notre Dame HS)
Jackson Rice<>8<>49<>P<>218<>Sr.<>Moraga, Calif. (Campolindo HS)
Ryan Hagen<>8<>50<>DT<>285<>Jr.<>Brea, Calif. (Troy HS)
Isaac Ava<>8<>51<>LB<>240<>So.<>Ewa Beach, Hawaii (St. Louis HS)
Dawson Housley<>8<>52<>LB<>200<>Fr.<>Eugene, Ore. (Sheldon HS)
Hamani Stevens<>8<>54<>OL<>298<>So.<>Hemet, Calif. (Hemet HS)
Hroniss Grasu<>8<>55<>OL<>294<>So.<>Encino, Calif. (Crespi HS)
Alex Balducci<>8<>56<>DL<>290<>Fr.<>Portland, Ore. (Central Catholic HS)
Trevor Fox<>8<>57<>OL<>290<>Jr.<>Temecula, Calif. (Chaparral HS)
James Euscher<>8<>58<>OL<>291<>RFr.<>Aloha, Ore. (Aloha HS)
Jeff Palmer<>8<>59<>LS<>190<>Sr.<>Dana Point, Calif. (Santa Margarita HS)
Grant Thompson<>8<>59<>LB<>220<>So.<>Cottage Grove, Ore. (Cottage Grove HS)
Ryan Clanton<>8<>60<>OL<>305<>Sr.<>Bakersfield, Calif. (Bakersfield Christian HS)
Nick Cody<>8<>61<>OL<>310<>Sr.<>Brush Prairie, Wash. (Hockinson HS)
Matt Pierson<>8<>62<>OL<>272<>RFr.<>West Linn, Ore. (Jesuit HS)
Mana Greig<>8<>63<>OL<>291<>Jr.<>Kailua, Hawaii (St. Louis HS)
Tyler Johnstone<>8<>64<>OL<>292<>RFr.<>Chandler, Ariz. (Hamilton HS)
Isaac Remington<>8<>65<>DT<>305<>Sr.<>Queen Creek, Ariz. (Phoenix College) (Valley Christian HS)
Taylor Hart<>8<>66<>DT<>292<>Jr.<>Tualatin, Ore. (Tualatin HS)
Jamal Prater<>8<>68<>OL<>275<>RFr.<>Etiwanda, Calif. (Etiwanda HS)
Matthew McFadden<>8<>70<>OL<>303<>Fr.<>Novato, Calif. (Marin Catholic HS)
Everett Benyard<>8<>71<>OL<>305<>Jr.<>San Diego, Calif. (Cathedral Catholic HS)
Andre Yruretagoyena<>8<>72<>OL<>288<>RFr.<>Scottsdale, Ariz. (Chaparral HS)
Kyle Long<>8<>74<>OL<>311<>Sr.<>Charlottesville, Va. (Saddleback CC) (St. Anne’s-Belfield HS)
Jake Fisher<>8<>75<>OL<>294<>So.<>Traverse City, Mich. (Traverse City West)
Carson York<>8<>77<>OL<>293<>Sr.<>Coeur d’Alene, Idaho (Lake City HS)
Karrington Armstrong<>8<>78<>OL<>290<>Jr.<>Reno, Nev. (McQueen HS)
Koa Ka'ai<>8<>80<>TE<>251<>RFr.<>Honolulu, Hawaii (Kamehameha HS)
Aaron Lee<>8<>81<>WR<>195<>So.<>Federal Way, Wash. (Decatur HS)
Christian French<>8<>82<>DE<>242<>RFr.<>Cedar Rapids, Iowa (John F. Kennedy HS)
Stetzon Bair<>8<>84<>DL<>270<>So.<>St. Anthony, Idaho (Iowa Western CC) (South Fremont HS)
Chad Delaney<>8<>84<>WR<>180<>Jr.<>Elmira, Ore. (Elmira HS)
Pharaoh Brown<>8<>85<>TE<>234<>Fr.<>Lyndhurst, Ohio (Brush HS)
Brian Teague<>8<>86<>TE<>265<>Jr.<>Portland, Ore. (David Douglas HS)
Nick Morrison<>8<>87<>DL<>265<>Sr.<>Everett, Wash. (Cascade HS)
Jeff Bedbury<>8<>88<>WR<>195<>RSo.<>Eugene (Marist HS)
Will Murphy<>8<>89<>WR<>193<>Sr.<>Albany, Ore. (West Albany HS)
Ricky Heimuli<>8<>90<>DT<>305<>Jr.<>Glendale, Utah (Brighton HS)
Dane Ebanez<>8<>91<>WR<>180<>Jr.<>North Pole, Alaska (North Pole HS)
Tony Washington<>8<>91<>DE<>244<>So.<>Rancho Cucamonga, Calif. (Los Osos HS)
Patrick Acosta<>8<>92<>WR<>167<>Jr.<>Beaverton, Ore. (Westview HS)
Wade Keliikipi<>8<>92<>DT<>295<>Jr.<>Waianae, Hawaii (Waianae HS)
Rob Beard<>8<>93<>PK<>215<>Sr.<>Fullerton, Calif. (Troy HS)
Axel McQuaw<>8<>94<>OL<>275<>Jr.<>Yachats, Ore. (Waldport HS)
Dion Jordan<>8<>96<>DE<>243<>Sr.<>Chandler, Ariz. (Chandler HS)
Hayden Crook<>8<>97<>PK<>155<>Fr.<>Bend (Bend HS)
Jared Ebert<>8<>97<>DT<>260<>Jr.<>Iowa City, Iowa (Iowa Western CC) (Iowa City West HS)
David Kafovalu<>8<>98<>DE<>240<>So.<>Riverside, Calif. (Arlington HS)
Sam Kamp<>8<>99<>DL<>251<>RFr.<>Mesa, Ariz. (Mountain View HS)
